PI College,PI Dept,PI Name,PI Part,RA,Cost Share,Awarded,Entry Date,Submitted Thru,Proposal Title,Proposal Amount,Proposal Date,Proposal Start Date,Proposal End Date,ORSP Number,Agency,Flow Down Sponsor,Abstract,CFDA #,Award Date,Start Date,End Date,Award Amount,Average Amount per Year,Source Category,Fed Source Category,Source Name,Submitted Thru Coll,CO-PI 1 Name,CO-PI 1 Dept,CO-PI 1 Part,CO-PI 2 Name,CO-PI 2 Dept,CO-PI 2 Part,CO-PI 3 Name,CO-PI 3 Dept,CO-PI 3 Part,CO-PI 4 Name,CO-PI 4 Dept,CO-PI 4 Part,CO-PI 5 Name,CO-PI 5 Dept,CO-PI 5 Part,CO-PI 6 Name,CO-PI 6 Dept,CO-PI 6 Part,CO-PI 7 Name,CO-PI 7 Dept,CO-PI 7 Part,CO-PI 8 Name,CO-PI 8 Dept,CO-PI 8 Part
ENGINEERING,COMPUTER SCIENCE,"CHEON, YOONSIK",100%,DANIELLE,No,No,2023-12-20,Computer Science      ,SHF: SMALL: EMPOWERING WITH ASSERTIONS FOR UNIFIED VERIFICATION AND VALIDATION IN EVERYDAY CODING,"$415,315 ",2023-12-20,2024-06-01,2027-05-31,OR20240150,UNIVERSITY OF SOUTHERN CALIFORNIA (UNIV),DEFENSE ADVANCED RESEARCH PROJECTS ,"This project aims to enhance the correctness and reliability of software systems through a holistic, dual-pronged 
strategy. On the technical front, our research pioneers a unified Verification and Validation (V&V) methodology 
designed for seamless integration into the daily coding practices of the average programmer. Acknowledging the 
intricacies of modern software development, spanning mobile applications to mission-critical systems with 
features like concurrency, parallelism, and AI integration, we extend our commitment to education. Our goal is to 
create comprehensive undergraduate and graduate courses focused on V&V for software systems. This 
educational initiative not only aims to instill proficiency in V&V practices but also endeavors to cultivate a 
positive shift in attitudes, emphasizing the pivotal role of V&V in developing robust and reliable software. In 
response to the prevalence of vulnerabilities in contemporary society, our project seamlessly integrates diverse 
V&V techniques, leveraging lightweight tools in harmony with familiar programming languages, especially 
executable assertions. By elevating seemingly simple elements like assert statements into a robust V&V 
technique, we aim to bridge existing gaps between isolated methodologies, cultivating a unified framework 
accessible to average programmers. Importantly, our approach requires no heavy mathematical knowledge or 
specialized tools. It uses executable assertions as the foundation for unifying various V&V techniques, including 
runtime checking, unit testing, and formal proof. The strategic integration of assertions and runtime checking, 
guided by static code analysis and formal proof, results in a more robust verification strategy. By strategically 
incorporating assertions and runtime checking into unit testing and formal proof processes, developers can 
establish a comprehensive and mutually reinforcing verification strategy. This integrated approach harnesses the 
strengths of each technique, ensuring a thorough and reliable means of ensuring software correctness across 
diverse scenarios. 

Keywords: Assertion, function program verification, formal proof, runtime checking, unit testing, verification and 
validation.




",12.431,,,,0,0,FEDERAL,DOD,DEFENSE ADVANCED RESEARCH PROJECTS ,ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,
EDUCATION,EDU/LEADERSHIP/FOUND,"ESPINOZA, PENELOPE P",50%,DANIELLE,No,No,2023-12-05,Edu/leadership/found  ,STEM EDUCATOR SERIES ON STUDENT INTERACTIONS (SESSI): A VISUAL TOOL TO COUNTER RACIAL MICROAGGRESSIONS AND PROMOTE INCLUSIVITY IN STEM ENVIRONMENTS,"$623,267 ",2023-12-05,2024-08-01,2027-07-31,OR20240146,NATIONAL SCIENCE FOUNDATION (FED),,"This project aims to promote racial equity in STEM education by addressing racial microaggressions in STEM 
college settings. The objective of the proposed work is to engage in design-based research to develop a tool for 
countering racial microaggressions with inclusive behaviors in STEM settings. Through a rigorous iterative process, 
the project will generate a tool distinct from other anti-bias interventions, akin to public health messaging grounded in 
psychological theories on behavior change. The proposed STEM Educator Series on Student Interactions (SESSI) 
is a graphic series aimed at educators to model microaffirmations that substitute for microaggressions. A key feature 
of the proposed tool is its centering of students' authentic experiences. The SESSI is an innovative approach to 
reducing racial microaggressions in STEM by illustrating students' experiences and, importantly, alternative inclusive 
behaviors to be readily learned and applied by STEM educators. Quantitative and qualitative data from STEM 
students and faculty will be collected and applied across several phases of a theory-driven design process. The 
ultimate goals of the project are STEM educators' behavior change and more inclusive STEM environments that 
support aspiring Hispanic and Black scientists and engineers. Future research will test the SESSI prototype resulting 
from the proposed project in terms of its efficacy for reducing microaggressions and increasing inclusive behaviors. 
The team of Latina researchers, educators, and artists at The University of Texas at El Paso brings to the project 
years of experience advising, mentoring, and teaching underserved students in a border community.

Keywords: 1) Racial microaggressions; 2) Microaffirmations; 3) Black and Hispanic STEM undergraduates; 4) 
College STEM educators; 5) Psychological behavior change theories
",447.076,,,,0,0,FEDERAL,NSF,NATIONAL SCIENCE FOUNDATION (FED),EDUCATION,"Canaba, Karina C",Couri - Campus Office Of Undergraduate Research Initiatives,50%,,,,,,,,,,,,,,,,,,,,,
LIBERAL ARTS,PSYCHOLOGY,"FIELD, CRAIG A",100%,CLAUDIA,No,No,2023-12-06,Latino Alcohol & Health Disparities Research Center,SRG R01: OPTIMIZING PREGNANCY TREATMENT INTERVENTIONS FOR MOMS (OPTI-MOM 3.0),"$132,145 ",2023-12-01,2024-09-30,2029-09-29,OR20240147,THE UNIVERSITY OF UTAH (UNIV),CDC-NATL CTR FOR INJURY PREVENT AND,"5 Keywords: Opioid Use Disorder, Pregnant Women, Patient Navigation, Randomized Trial, Treatment Interventions
Pregnant persons continue to shoulder disproportionate health burdens related to the US opioid epidemic. This 
burden is demonstrated by consistent increases in the number of documented cases of opioid-related diagnosis 
at delivery as week as elevated rates of HIV/HCV, psychiatric conditions, non-opioid substance use disorder 
(SUD), social determinants of health-related problems (e.g., food insecurity, housing instability), and neonatal 
health challenges/care demands. Postpartum return-to-use rates among individuals with OUD who achieved 
abstinence during pregnancy are as high as 59-99%. Recommended care for pregnant persons with OUD includes 
medication for opioid use disorder (MOUD, i.e., methadone or buprenorphine) combined with behavioral health 
services. Yet, current research is unclear regarding which behavioral health services are optimal for promoting 
MOUD treatment linkage and retention to reduce illicit use and subsequent overdose.
One promising approach is patient navigation (PN), an evidence-based practice for various chronic 
medical/psychosocial conditions historically delivered in health systems or clinics. PN addresses barriers to care 
common among those with OUD, including treatment access, social and/or care services utilization, and 
motivation to improve health behaviors. Our single clinic proof of concept (N=21) among pregnant persons with 
OUD resulted in improvements in illicit opioid use, SUD treatment attendance, and depression as well as high 
study engagement. Our pilot, small-scale (N=102), two health system, randomized trial showed solid signals for 
PN participants having superior outcomes for MOUD adherence, SUD treatment attendance, illicit opioid use, and 
overdose compared to Usual Care (UC). These results suggest that Medicaid programs may be optimal 
community-level partners to scale PN to serve this population. To determine PN efficacy within a Medicaid-
managed care environment, we propose a fully powered randomized trial to reduce illicit opioid use, promote 
linkage/retention to MOUD, and reduce opioid overdose. 



",93.136,,,,0,0,FEDERAL,HHS,CDC-NATL CTR FOR INJURY PREVENT AND,LIBERAL ARTS,,,,,,,,,,,,,,,,,,,,,,,,
SCIENCE,BIOLOGICAL SCIENCES,"GREENBAUM, ELI B",100%,RAUL,No,No,2023-12-08,Biological Sciences   ,"TRG: COLLABORATIVE PROPOSAL: REVISION OF THE AFRICAN FOREST TREEFROGS (GENUS LEPTOPELIS) WITH PHYLOGENOMICS, DIGITAL ANATOMY, AND INNOVATIVE TEACHING","$504,101 ",2023-12-08,2024-09-01,2028-08-31,OR20240152,NATIONAL SCIENCE FOUNDATION (FED),,"KEYWORDS: forest treefrogs, ecological diversification, ecology

The Afrobatrachia is a radiation of four frog families endemic to Africa that accounts for more than half of
the continent's currently described anuran species. This project will assess the diversity, evolutionary
relationships, and conservation status of the most poorly known afrobatrachians, ""Forest Treefrogs"" in the
genus Leptopelis. Although Forest Treefrogs are a ubiquitous component of the continent's amphibian
fauna, the group has not been revised since 1973 and then only with morphological data. More narrowlyfocused molecular studies have since 
clarified 
some taxonomic uncertainties and revealed additional
distinct taxa within currently recognized species, but morphological and molecular data have not yet been
paired to reconcile species-level diversity of the genus. A large-scale revision of the group is urgent
because conservation assessments are based on outdated taxonomy and many species occur in
unprotected and rapidly diminishing habitats. The project has five interconnected goals: (1) construct a
species-level phylogeny of Leptopelis to confirm its monophyly and provide context for investigating
biogeography and ecological diversification; (2) explore intraspecific molecular and phenotypic diversity of
widely distributed taxa; (3) characterize osteological variation with respect to evolutionary history and
ecology; (4) undertake a major monographic revision of Leptopelis; and (5) update IUCN Red List
assessments for all species recognized in the monograph. The PIs are well-placed to carry out this
project because of their extensive fieldwork experience and collaborations across sub-Saharan Africa,
access to thousands of vouchers and tissue samples, and taxonomic expertise. They will leverage these
assets to train a new generation of U.S. and African herpetologists. Leptopelis are the most species-rich
and geographically widespread genus of the family Arthroleptidae, and occur in a variety of climatic and
ecological regions across Africa; thus, they are an ideal candidate for expedited, integrative, and scalable
genus-level revisions within Afrobatrachia
",47.074,,,,0,0,FEDERAL,NSF,NATIONAL SCIENCE FOUNDATION (FED),SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,
SCIENCE,"EARTH, ENVIRON & RESOURCE SCI","GUTIERREZ-JURADO, HUGO A",100%,MARIBEL,No,No,2023-12-15,"Earth, Environ & Resource Sci",SRG - IMPROVING WATER ACCOUNTING IN TRANSBOUNDARY ARID REGIONS BY ASSIMILATING SWOT DATA INTO HYDROLOGIC SWAT MODEL,"$150,991 ",2023-12-15,2024-08-01,2027-07-31,OR20240157,TEXAS A&M UNIVERSITY (TX),NATIONAL AERONAUTICS AND SPACE ADMI,"Keywords: Surface-water availability, SWOT, Water modeling, Water accounting, Remote sensing
Surface water availability is declining in many arid areas of the world. Particularly, water supply deficiencies 
influencing water flows and water quality have been reported over the past decades in the Southwestern USA. 
This region, characterized by prolonged droughts and escalating urban establishments, faces a particularly 
challenging scenario, impacting reservoir and lake levels and, consequently, sectors like agriculture that heavily 
rely on surface water.  Also, as ongoing changes in the water availability persist and these regions increase in 
water demand, limiting water for food production in expanding urban cities, improved data collection on their 
water bodies is needed. Specifically, water storage in lakes and reservoirs is of critical importance serving various 
sectors maintaining thriving human populations while building resilience against rising water scarcity. Improved 
data quality and sources for monitoring reservoir operations for these water bodies can enhance water 
management practices Also, in several southwestern states water resources cross international borders and give 
rise to frequent conflicts between countries with disparities in standards and data collection methodologies 
leading to disagreement over water availability, usage, and distribution. Thus, monitoring these water bodies' 
inflows and outflows more accurately is an opportunity to significantly improve water management practices This 
proposal aims to utilize and test the capabilities of the newly launched Surface Water and Ocean Topography 
mission (SWOT) for improving data collection and quantification of water availability in arid regions bodies and 
create transparency for water allocation shared between countries.
",43.001,,,,0,0,FEDERAL,NASA,NATIONAL AERONAUTICS AND SPACE ADMI,SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,
LIBERAL ARTS,PSYCHOLOGY,"IVANOVA, IVA M",100%,CLAUDIA,No,No,2024-01-18,Psychology            ,SUPPLEMENT SRG: COGNITIVE FACTORS OF BILINGUAL LEXICAL ALIGNMENT,"$28,481 ",2023-12-15,2024-03-01,2025-02-28,OR20240203,NATIONAL SCIENCE FOUNDATION (FED),,"5 Keywords:psychology, bilingualism, language production, conversational alignment, filler words
Abstract:
We are investigating alignment to ""like"" in bilinguals in two experiments, described below. The additional funds are requested to allow a student with a 
disability to conduct another experiment and to publish the study. Method: In two experiments, English speakers read and retold a short story before 
and after listening to a recorded story that either contained many uses of ""like"" (145), moderate uses (61) or no uses (pre-post design). The 
experiments also investigate the role of attention for alignment to ""like"". This is done by immersing participants in Google Earth in virtual reality: Half 
navigated with the hand-held controllers (heavy attentional load), and half remained stationary (light attentional load). Current results: When the 
attentional load was during comprehension, participants aligned to ""like"" after being exposed to many (as opposed to moderate) ""likes"". In addition, 
contrary to expectations, they aligned to ""like"" in the heavy load condition, which presumably enhanced their overall attention to the situation and 
hence to the ""likes"" in the input. When the attentional load was during production, participants similarly aligned to ""like"" after being exposed to many 
(as opposed to moderate) ""likes"", but only under light and not under heavier load. These results suggest that even aligning to an implicit (and often 
undesirable) aspect of language such as the filler word ""like"" draws on attentional resources. 
However, to be able to publish these results, a third experiment is necessary without the virtual reality manipulation. Removing virtual reality will 
allow to fully interpret the effects of attentional engagement on alignment to ""like"". We request additional funds (20% of the original proposal) to 
increase the chances that a graduate student with a disability is retained in academia. 

NOTE: This is a supplement for OR20200241. 
",47.075,,,,0,0,FEDERAL,NSF,NATIONAL SCIENCE FOUNDATION (FED),LIBERAL ARTS,,,,,,,,,,,,,,,,,,,,,,,,
SCIENCE,PHYSICS,"KIM, EUNJA",65%,MARIBEL,No,No,2023-12-18,Physics               ,SRG - EXPERIMENTAL AND COMPUTATIONAL INVESTIGATION OF FISSION PRODUCT,"$809,602 ",2023-12-18,2024-08-01,2027-07-31,OR20240162,UNIVERSITY OF TEXAS AT SAN ANTONIO (TX),US DEPARTMENT OF ENERGY (FED),"Keywords: Uranium-nitrate, fission products, DFT
Complementing the indispensable experimental effort, UTEP researchers will lead Thrust 2, carrying out 
computational modeling and simulations of fission products (FPs) containing Simfuel samples. Thrust 2 consisting of 
three tasks (i.e., Task 2.1, Task 2, Task 2.3) will help guide and verify the experimental synthesis and characterization 
(Thrust 1 and Thrust 3) led by UTSA.  
",81.121,,,,0,0,FEDERAL,DOE,US DEPARTMENT OF ENERGY (FED),SCIENCE,"Pederson, Mark R",Physics               ,35%,,,,,,,,,,,,,,,,,,,,,
SCIENCE,PHYSICS,"KIM, EUNJA",65%,MARIBEL,No,No,2023-12-20,Physics               ,SRG - MACHINE-LEARNING DRIVEN INVESTIGATION OF THE THERMAL-MECHANICAL-CHEMICAL PROPERTIES OF SPENT NUCLEAR FUEL (SNF) CONTAINING FISSION PRODUCTS,"$800,000 ",2023-12-20,2024-08-01,2027-07-31,OR20240163,US DEPARTMENT OF ENERGY (FED),,"Keywords: Long-term storage, Geological disposal; Spent Nuclear Fuel (SNF); Fission products, Thermal-Mechanical-Chemical 
properties

We propose to use first-principles methods, combined with state-of-the-art machine-learning methods to systematically predict the TMC parameters 
of complex FP-containing alteration phases of SNF.  This proposed research will reduce uncertainty associated with the mechanisms and rates of SNF 
degradation and will enhance geochemical models of these systems, especially in the high-temperature range considered for SNF long-term 
storage and disposal.
",81.121,,,,0,0,FEDERAL,DOE,US DEPARTMENT OF ENERGY (FED),SCIENCE,"Pederson, Mark R",Physics               ,35%,,,,,,,,,,,,,,,,,,,,,
SCIENCE,BIOLOGICAL SCIENCES,"KIRKEN, ROBERT A",50%,CORY,Yes,No,2023-12-18,Border Biomed Res Ctr ,U54: OVERALL BUDGET: BORDER BIOMEDICAL RESOURCE CENTER,"$28,211,596 ",2023-12-17,2024-07-01,2029-06-30,OR20240159,NIH - NATL INST ON MINORITY HEALTH & H D (FED),,"Abstract will be added at a later time. 

Keywords: Pending 

****Cost share for Almeida, Cox, Kenney, and Kirken due to NIH Salary Cap. 

X X X X X X X X X X X X X X X X X X X X X X X X X X X
",93.307,,,,0,0,FEDERAL,HHS,NIH - NATL INST ON MINORITY HEALTH & H D (FED),SCIENCE,"Kenney, Michael J",Biological Sciences   ,50%,,,,,,,,,,,,,,,,,,,,,
SCIENCE,"EARTH, ENVIRON & RESOURCE SCI","KUBICKI, JAMES D",100%,MARIBEL,No,No,2024-01-03,"Earth, Environ & Resource Sci",SRG - ADVANCED FILTRATION SYSTEM FOR HIGH-PURITY CRITICAL ELEMENT RECOVERY FROM ELECTRONIC WASTE,"$389,777 ",2023-12-20,2024-06-01,2026-05-31,OR20240169,INFINITE ELEMENTS INC (COMM),US DEPARTMENT OF ENERGY (FED),"keywords: Critical Materials, Critical Metals, Rare Earth Element (REE) Recovery, Bio-Engineering, Critical Element 
Extraction

Abstract:
We will employ computational chemistry tools to calculate the binding energy between designed peptides and REEs. 
Density Functional Theory (DFT) is used to predict the Gibbs free energies (DG) and enthalpies (DH) for peptide-REE 
interactions. Molecular dynamics (MD) simulations can be performed to demonstrate the stability of the peptide-REE 
complexes in various environments, further confirming the specificity and durability of the interactions. When the binding 
energies are significantly lower (indicating stronger interactions) for REEs compared to other metals, these candidate 
peptides can be produced and assessed for their selectivity for REEs in complex solutions. 
",81.089,,,,0,0,FEDERAL,DOE,US DEPARTMENT OF ENERGY (FED),SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,
OFFICE OF THE PROVOST,CTR FOR COMMUNITY ENGAGE,"LUJAN, JENNIFER M.",100%,LUIS,No,No,2023-12-18,Ctr For Community Engage,LA NUBE UTEP COMMUNITY ENGAGEMENT INTERNS,"$8,841 ",2023-12-13,2023-09-01,2024-08-31,OR20240156,LA NUBE (NPO),,"The purpose of this Program is to assist UTEP Students in participating in meaningful
Internships to supplement their education and encourage student degree completion.

UTEP CCE accordingly, and the Community Partner will work together to ensure that both the
academic and Internship work experiences arising from the Program are carried out to the
satisfaction and benefit of the Students, UTEP, and the Community Partner and in
accordance with applicable laws, rules and regulations
",,,,,0,0,NON-PROFIT ORGANIZAT,,LA NUBE (NPO),OFFICE OF THE PROVOST,,,,,,,,,,,,,,,,,,,,,,,,
